"","X","charge120","charge240","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"408",12150,0,0,48,0,0,0,0,0,4,"Front-Wheel Drive",1150,0,"Regular","Regular Gasoline",16,0,"Toyota","Prius","Y","false",0,0,0,0,0,0,0,"Automatic (variable gear ratios)",66.6,0,"Midsize Cars",2005,5500,"",NA,NA,"Hybrid","","",""
"409",12151,0,0,19,0,0,0,0,0,4,"Front-Wheel Drive",2500,0,"Premium","Premium Gasoline",0,15,"Volkswagen","Passat","Y","false",0,95,0,0,0,0,0,"Manual 5-spd",24.4,0,"Midsize Cars",2005,-1250,"",TRUE,NA,"","","",""
"410",12152,0,0,19,0,0,0,0,0,4,"Front-Wheel Drive",2600,0,"Premium","Premium Gasoline",0,15,"Volkswagen","Passat","N","false",0,95,0,0,0,0,0,"Automatic (S5)",23.8,0,"Midsize Cars",2005,-1750,"",TRUE,NA,"","","",""
"411",12153,0,0,23,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Diesel","Diesel",0,15,"Volkswagen","Passat","Y","false",0,95,0,0,0,0,0,"Automatic (S5)",29.9,0,"Midsize Cars",2005,750,"",TRUE,NA,"Diesel","","",""
"412",12154,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,15,"Volkswagen","Passat","N","false",0,95,0,0,0,0,0,"Manual 5-spd",21.9,0,"Midsize Cars",2005,-3000,"",NA,NA,"","","",""
"413",12155,0,0,17,0,0,0,0,0,6,"Front-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,15,"Volkswagen","Passat","N","false",0,95,0,0,0,0,0,"Automatic (S5)",21.5,0,"Midsize Cars",2005,-3000,"",NA,NA,"","","",""
"414",12157,0,0,17,0,0,0,0,0,5,"4-Wheel or All-Wheel Drive",2850,0,"Premium","Premium Gasoline",0,15,"Volvo","S80 AWD","Y","false",0,99,0,0,0,0,0,"Automatic 5-spd",21.3,0,"Midsize Cars",2005,-3000,"",TRUE,NA,"","","",""
"415",12158,0,0,18,0,0,0,0,0,5,"Front-Wheel Drive",2600,0,"Premium","Premium Gasoline",0,15,"Volvo","S80 FWD","Y","false",0,99,0,0,0,0,0,"Automatic 5-spd",23.2,0,"Midsize Cars",2005,-1750,"",TRUE,NA,"","","",""
"416",12159,0,0,16,0,0,0,0,0,6,"Front-Wheel Drive",3000,0,"Premium","Premium Gasoline",0,15,"Volvo","S80 FWD","N","false",0,99,0,0,0,0,0,"Automatic (S4)",20.294,0,"Midsize Cars",2005,-3750,"",TRUE,NA,"","","",""
"424",12168,0,0,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,18,"Buick","LeSabre","Y","false",0,107,0,0,0,0,0,"Automatic 4-spd",22,0,"Large Cars",2005,-1000,"",NA,NA,"","","",""
