"","X","city08","cityA08","cityCD","cityE","cityUF","combE","cylinders","drive","fuelCost08","fuelCostA08","fuelType","fuelType1","hlv","lv4","make","model","mpgData","phevBlended","pv2","pv4","range","rangeCity","rangeCityA","rangeHwy","rangeHwyA","trany","UCity","UCityA","VClass","year","youSaveSpend","guzzler","tCharger","sCharger","atvType","fuelType2","rangeA","evMotor"
"381",12117,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Manual 5-spd",21.2925,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"382",12118,17,0,0,0,0,0,6,"Front-Wheel Drive",2600,0,"Regular","Regular Gasoline",22,15,"Mazda","6","Y","false",0,96,0,0,0,0,0,"Automatic (S6)",21.7672,0,"Midsize Cars",2005,-1750,"",NA,NA,"","","",""
"389",12127,20,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,13,"Mitsubishi","Galant","Y","false",0,101,0,0,0,0,0,"Automatic 4-spd",25.3423,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"391",12129,21,0,0,0,0,0,4,"Front-Wheel Drive",2250,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Automatic 4-spd",26.0375,0,"Midsize Cars",2005,0,"",NA,NA,"","","",""
"392",12130,21,0,0,0,0,0,4,"Front-Wheel Drive",2150,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Manual 5-spd",26.6,0,"Midsize Cars",2005,500,"",NA,NA,"","","",""
"393",12131,19,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Manual 5-spd",23.8,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"394",12132,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Manual 6-spd",22.2,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"395",12133,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Altima","Y","false",0,103,0,0,0,0,0,"Automatic (S5)",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"396",12135,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Maxima","Y","false",0,104,0,0,0,0,0,"Manual 6-spd",22.6,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"397",12136,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Nissan","Maxima","Y","false",0,104,0,0,0,0,0,"Automatic (S5)",22.2,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"398",12138,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,16,"Pontiac","Grand Prix","Y","false",0,97,0,0,0,0,0,"Automatic 4-spd",22.0747,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"402",12143,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,18,"Saturn","L300","N","false",0,97,0,0,0,0,0,"Automatic 4-spd",22.9,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"403",12144,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,13,"Suzuki","Verona","Y","false",0,101,0,0,0,0,0,"Automatic 4-spd",22.5,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"404",12146,21,0,0,0,0,0,4,"Front-Wheel Drive",2100,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","Y","false",0,102,0,0,0,0,0,"Automatic 5-spd",26.9016,0,"Midsize Cars",2005,750,"",NA,NA,"","","",""
"405",12147,21,0,0,0,0,0,4,"Front-Wheel Drive",2150,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","N","false",0,102,0,0,0,0,0,"Manual 5-spd",26.6,0,"Midsize Cars",2005,500,"",NA,NA,"","","",""
"406",12148,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","Y","false",0,102,0,0,0,0,0,"Automatic 5-spd",22.5,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
"407",12149,18,0,0,0,0,0,6,"Front-Wheel Drive",2450,0,"Regular","Regular Gasoline",0,17,"Toyota","Camry","Y","false",0,102,0,0,0,0,0,"Automatic 5-spd",22.8,0,"Midsize Cars",2005,-1000,"",NA,NA,"","","",""
